Attributes:,employment_status,frequency_cook_home
Degree(s) of freedom:,18
Critical value:,28.869
Statistic:,37.86905

attribute combination, observed, expected
Full time (Government Sector) 1,0,0.64
Full time (Government Sector) 2,0,0.48
Full time (Government Sector) 3,0,0.24
Full time (Government Sector) 4,0,0.2
Full time (Government Sector) 5,1,0.04
Full time (Government Sector) 6,0,0.08
Full time (Government Sector) 7,1,0.32
Full time (Private Sector) 1,14,12.8
Full time (Private Sector) 2,11,9.6
Full time (Private Sector) 3,6,4.8
Full time (Private Sector) 4,4,4.0
Full time (Private Sector) 5,0,0.8
Full time (Private Sector) 6,1,1.6
Full time (Private Sector) 7,4,6.4
Self-employed 1,0,0.32
Self-employed 2,0,0.24
Self-employed 3,0,0.12
Self-employed 4,0,0.1
Self-employed 5,0,0.02
Self-employed 6,0,0.04
Self-employed 7,1,0.16
Unemployed 1,2,2.24
Unemployed 2,1,1.68
Unemployed 3,0,0.84
Unemployed 4,1,0.7
Unemployed 5,0,0.14
Unemployed 6,1,0.28
Unemployed 7,2,1.12
