Attributes:,employment_status,frequency_takeout_delivery
Degree(s) of freedom:,18
Critical value:,28.869
Statistic:,41.33886

attribute combination, observed, expected
Full time (Government Sector) 1,0,0.12
Full time (Government Sector) 2,0,0.08
Full time (Government Sector) 3,0,0.48
Full time (Government Sector) 4,1,0.4
Full time (Government Sector) 5,0,0.6
Full time (Government Sector) 6,0,0.04
Full time (Government Sector) 7,1,0.28
Full time (Private Sector) 1,2,2.4
Full time (Private Sector) 2,1,1.6
Full time (Private Sector) 3,7,9.6
Full time (Private Sector) 4,9,8.0
Full time (Private Sector) 5,15,12.0
Full time (Private Sector) 6,1,0.8
Full time (Private Sector) 7,5,5.6
Self-employed 1,0,0.06
Self-employed 2,1,0.04
Self-employed 3,0,0.24
Self-employed 4,0,0.2
Self-employed 5,0,0.3
Self-employed 6,0,0.02
Self-employed 7,0,0.14
Unemployed 1,1,0.42
Unemployed 2,0,0.28
Unemployed 3,5,1.68
Unemployed 4,0,1.4
Unemployed 5,0,2.1
Unemployed 6,0,0.14
Unemployed 7,1,0.98
