Attributes:,frequency_eating_out,frequency_cook_home
Degree(s) of freedom:,36
Critical value:,50.998
Statistic:,54.33891

attribute combination, observed, expected
1 1,0,0.64
1 2,0,0.48
1 3,0,0.24
1 4,0,0.2
1 5,0,0.04
1 6,0,0.08
1 7,2,0.32
2 1,1,1.92
2 2,1,1.44
2 3,3,0.72
2 4,1,0.6
2 5,0,0.12
2 6,0,0.24
2 7,0,0.96
3 1,1,2.56
3 2,2,1.92
3 3,0,0.96
3 4,1,0.8
3 5,0,0.16
3 6,1,0.32
3 7,3,1.28
4 1,5,6.08
4 2,7,4.56
4 3,2,2.28
4 4,3,1.9
4 5,0,0.38
4 6,1,0.76
4 7,1,3.04
5 1,3,1.92
5 2,2,1.44
5 3,1,0.72
5 4,0,0.6
5 5,0,0.12
5 6,0,0.24
5 7,0,0.96
6 1,1,0.96
6 2,0,0.72
6 3,0,0.36
6 4,0,0.3
6 5,0,0.06
6 6,0,0.12
6 7,2,0.48
7 1,5,1.92
7 2,0,1.44
7 3,0,0.72
7 4,0,0.6
7 5,1,0.12
7 6,0,0.24
7 7,0,0.96
