Attributes:,frequency_takeout_delivery,frequency_cook_home
Degree(s) of freedom:,36
Critical value:,50.998
Statistic:,35.74702

attribute combination, observed, expected
1 1,0,0.96
1 2,0,0.72
1 3,0,0.36
1 4,0,0.3
1 5,0,0.06
1 6,1,0.12
1 7,2,0.48
2 1,0,0.64
2 2,0,0.48
2 3,1,0.24
2 4,0,0.2
2 5,0,0.04
2 6,0,0.08
2 7,1,0.32
3 1,2,3.84
3 2,3,2.88
3 3,3,1.44
3 4,2,1.2
3 5,0,0.24
3 6,1,0.48
3 7,1,1.92
4 1,4,3.2
4 2,3,2.4
4 3,1,1.2
4 4,0,1.0
4 5,1,0.2
4 6,0,0.4
4 7,1,1.6
5 1,5,4.8
5 2,5,3.6
5 3,1,1.8
5 4,2,1.5
5 5,0,0.3
5 6,0,0.6
5 7,2,2.4
6 1,1,0.32
6 2,0,0.24
6 3,0,0.12
6 4,0,0.1
6 5,0,0.02
6 6,0,0.04
6 7,0,0.16
7 1,4,2.24
7 2,1,1.68
7 3,0,0.84
7 4,1,0.7
7 5,0,0.14
7 6,0,0.28
7 7,1,1.12
