Attributes:,gender,preferred_dining
Degree(s) of freedom:,4
Critical value:,9.488
Statistic:,3.52857

attribute combination, observed, expected
Female Eating out at Casual Dining Restaurants,3,4.0
Female Eating out at Fast Food Restaurant,2,1.0
Female Eating out at Fine Dining Restaurants,1,0.5
Female Food Delivery,2,2.0
Female Home-Cooked Meals,17,17.5
Male Eating out at Casual Dining Restaurants,5,4.0
Male Eating out at Fast Food Restaurant,0,1.0
Male Eating out at Fine Dining Restaurants,0,0.5
Male Food Delivery,2,2.0
Male Home-Cooked Meals,18,17.5
