Attributes:,housing_type,frequency_grocery
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,14.34267

attribute combination, observed, expected
Dormitory 1,2,0.66
Dormitory 2,1,1.26
Dormitory 3,0,0.6
Dormitory 4,0,0.48
Living with Relatives (not with parents/siblings) 1,1,0.88
Living with Relatives (not with parents/siblings) 2,2,1.68
Living with Relatives (not with parents/siblings) 3,0,0.8
Living with Relatives (not with parents/siblings) 4,1,0.64
Living with parents/siblings 1,3,3.96
Living with parents/siblings 2,6,7.56
Living with parents/siblings 3,4,3.6
Living with parents/siblings 4,5,2.88
Own House 1,5,2.86
Own House 2,5,5.46
Own House 3,2,2.6
Own House 4,1,2.08
Renting 1,0,2.64
Renting 2,7,5.04
Renting 3,4,2.4
Renting 4,1,1.92
