Attributes:,housing_type,frequency_takeout_delivery
Degree(s) of freedom:,24
Critical value:,36.415
Statistic:,31.50183

attribute combination, observed, expected
Dormitory 1,1,0.18
Dormitory 2,0,0.12
Dormitory 3,1,0.72
Dormitory 4,0,0.6
Dormitory 5,1,0.9
Dormitory 6,0,0.06
Dormitory 7,0,0.42
Living with Relatives (not with parents/siblings) 1,1,0.24
Living with Relatives (not with parents/siblings) 2,0,0.16
Living with Relatives (not with parents/siblings) 3,0,0.96
Living with Relatives (not with parents/siblings) 4,1,0.8
Living with Relatives (not with parents/siblings) 5,0,1.2
Living with Relatives (not with parents/siblings) 6,1,0.08
Living with Relatives (not with parents/siblings) 7,1,0.56
Living with parents/siblings 1,0,1.08
Living with parents/siblings 2,0,0.72
Living with parents/siblings 3,3,4.32
Living with parents/siblings 4,5,3.6
Living with parents/siblings 5,6,5.4
Living with parents/siblings 6,0,0.36
Living with parents/siblings 7,4,2.52
Own House 1,0,0.78
Own House 2,1,0.52
Own House 3,4,3.12
Own House 4,1,2.6
Own House 5,6,3.9
Own House 6,0,0.26
Own House 7,1,1.82
Renting 1,1,0.72
Renting 2,1,0.48
Renting 3,4,2.88
Renting 4,3,2.4
Renting 5,2,3.6
Renting 6,0,0.24
Renting 7,1,1.68
