Attributes:,housing_type,primary_cook
Degree(s) of freedom:,8
Critical value:,15.507
Statistic:,6.47454

attribute combination, observed, expected
Dormitory I don't cook,1,0.9
Dormitory No, but I can cook,1,1.56
Dormitory Yes,1,0.54
Living with Relatives (not with parents/siblings) I don't cook,2,1.2
Living with Relatives (not with parents/siblings) No, but I can cook,2,2.08
Living with Relatives (not with parents/siblings) Yes,0,0.72
Living with parents/siblings I don't cook,7,5.4
Living with parents/siblings No, but I can cook,10,9.36
Living with parents/siblings Yes,1,3.24
Own House I don't cook,2,3.9
Own House No, but I can cook,7,6.76
Own House Yes,4,2.34
Renting I don't cook,3,3.6
Renting No, but I can cook,6,6.24
Renting Yes,3,2.16
