Attributes:,pet_ownership,frequency_cook_home
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,5.17115

attribute combination, observed, expected
I don't own a cat/dog 1,4,4.8
I don't own a cat/dog 2,3,3.6
I don't own a cat/dog 3,1,1.8
I don't own a cat/dog 4,2,1.5
I don't own a cat/dog 5,0,0.3
I don't own a cat/dog 6,1,0.6
I don't own a cat/dog 7,4,2.4
I own a cat/dog and bring them when I eat out if I feel like it 1,2,1.28
I own a cat/dog and bring them when I eat out if I feel like it 2,1,0.96
I own a cat/dog and bring them when I eat out if I feel like it 3,1,0.48
I own a cat/dog and bring them when I eat out if I feel like it 4,0,0.4
I own a cat/dog and bring them when I eat out if I feel like it 5,0,0.08
I own a cat/dog and bring them when I eat out if I feel like it 6,0,0.16
I own a cat/dog and bring them when I eat out if I feel like it 7,0,0.64
I own a cat/dog but I DON'T bring them when I eat out 1,10,9.92
I own a cat/dog but I DON'T bring them when I eat out 2,8,7.44
I own a cat/dog but I DON'T bring them when I eat out 3,4,3.72
I own a cat/dog but I DON'T bring them when I eat out 4,3,3.1
I own a cat/dog but I DON'T bring them when I eat out 5,1,0.62
I own a cat/dog but I DON'T bring them when I eat out 6,1,1.24
I own a cat/dog but I DON'T bring them when I eat out 7,4,4.96
