Attributes:,pet_ownership,frequency_takeout_delivery
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,10.38044

attribute combination, observed, expected
I don't own a cat/dog 1,2,0.9
I don't own a cat/dog 2,0,0.6
I don't own a cat/dog 3,4,3.6
I don't own a cat/dog 4,2,3.0
I don't own a cat/dog 5,6,4.5
I don't own a cat/dog 6,0,0.3
I don't own a cat/dog 7,1,2.1
I own a cat/dog and bring them when I eat out if I feel like it 1,0,0.24
I own a cat/dog and bring them when I eat out if I feel like it 2,0,0.16
I own a cat/dog and bring them when I eat out if I feel like it 3,0,0.96
I own a cat/dog and bring them when I eat out if I feel like it 4,2,0.8
I own a cat/dog and bring them when I eat out if I feel like it 5,2,1.2
I own a cat/dog and bring them when I eat out if I feel like it 6,0,0.08
I own a cat/dog and bring them when I eat out if I feel like it 7,0,0.56
I own a cat/dog but I DON'T bring them when I eat out 1,1,1.86
I own a cat/dog but I DON'T bring them when I eat out 2,2,1.24
I own a cat/dog but I DON'T bring them when I eat out 3,8,7.44
I own a cat/dog but I DON'T bring them when I eat out 4,6,6.2
I own a cat/dog but I DON'T bring them when I eat out 5,7,9.3
I own a cat/dog but I DON'T bring them when I eat out 6,1,0.62
I own a cat/dog but I DON'T bring them when I eat out 7,6,4.34
