Attributes:,pet_ownership,preferred_dining
Degree(s) of freedom:,8
Critical value:,15.507
Statistic:,5.62356

attribute combination, observed, expected
I don't own a cat/dog Eating out at Casual Dining Restaurants,4,2.4
I don't own a cat/dog Eating out at Fast Food Restaurant,1,0.6
I don't own a cat/dog Eating out at Fine Dining Restaurants,0,0.3
I don't own a cat/dog Food Delivery,0,1.2
I don't own a cat/dog Home-Cooked Meals,10,10.5
I own a cat/dog and bring them when I eat out if I feel like it Eating out at Casual Dining Restaurants,1,0.64
I own a cat/dog and bring them when I eat out if I feel like it Eating out at Fast Food Restaurant,0,0.16
I own a cat/dog and bring them when I eat out if I feel like it Eating out at Fine Dining Restaurants,0,0.08
I own a cat/dog and bring them when I eat out if I feel like it Food Delivery,0,0.32
I own a cat/dog and bring them when I eat out if I feel like it Home-Cooked Meals,3,2.8
I own a cat/dog but I DON'T bring them when I eat out Eating out at Casual Dining Restaurants,3,4.96
I own a cat/dog but I DON'T bring them when I eat out Eating out at Fast Food Restaurant,1,1.24
I own a cat/dog but I DON'T bring them when I eat out Eating out at Fine Dining Restaurants,1,0.62
I own a cat/dog but I DON'T bring them when I eat out Food Delivery,4,2.48
I own a cat/dog but I DON'T bring them when I eat out Home-Cooked Meals,22,21.7
