Attributes:,preferred_dining,frequency_eating_out
Degree(s) of freedom:,24
Critical value:,36.415
Statistic:,32.81328

attribute combination, observed, expected
Eating out at Casual Dining Restaurants 1,0,0.32
Eating out at Casual Dining Restaurants 2,1,0.96
Eating out at Casual Dining Restaurants 3,2,1.28
Eating out at Casual Dining Restaurants 4,5,3.04
Eating out at Casual Dining Restaurants 5,0,0.96
Eating out at Casual Dining Restaurants 6,0,0.48
Eating out at Casual Dining Restaurants 7,0,0.96
Eating out at Fast Food Restaurant 1,1,0.08
Eating out at Fast Food Restaurant 2,1,0.24
Eating out at Fast Food Restaurant 3,0,0.32
Eating out at Fast Food Restaurant 4,0,0.76
Eating out at Fast Food Restaurant 5,0,0.24
Eating out at Fast Food Restaurant 6,0,0.12
Eating out at Fast Food Restaurant 7,0,0.24
Eating out at Fine Dining Restaurants 1,0,0.04
Eating out at Fine Dining Restaurants 2,1,0.12
Eating out at Fine Dining Restaurants 3,0,0.16
Eating out at Fine Dining Restaurants 4,0,0.38
Eating out at Fine Dining Restaurants 5,0,0.12
Eating out at Fine Dining Restaurants 6,0,0.06
Eating out at Fine Dining Restaurants 7,0,0.12
Food Delivery 1,0,0.16
Food Delivery 2,0,0.48
Food Delivery 3,0,0.64
Food Delivery 4,2,1.52
Food Delivery 5,1,0.48
Food Delivery 6,1,0.24
Food Delivery 7,0,0.48
Home-Cooked Meals 1,1,1.4
Home-Cooked Meals 2,3,4.2
Home-Cooked Meals 3,6,5.6
Home-Cooked Meals 4,12,13.3
Home-Cooked Meals 5,5,4.2
Home-Cooked Meals 6,2,2.1
Home-Cooked Meals 7,6,4.2
