Attributes:,preferred_dining,frequency_grocery
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,15.22994

attribute combination, observed, expected
Eating out at Casual Dining Restaurants 1,1,1.76
Eating out at Casual Dining Restaurants 2,5,3.36
Eating out at Casual Dining Restaurants 3,2,1.6
Eating out at Casual Dining Restaurants 4,0,1.28
Eating out at Fast Food Restaurant 1,0,0.44
Eating out at Fast Food Restaurant 2,2,0.84
Eating out at Fast Food Restaurant 3,0,0.4
Eating out at Fast Food Restaurant 4,0,0.32
Eating out at Fine Dining Restaurants 1,0,0.22
Eating out at Fine Dining Restaurants 2,0,0.42
Eating out at Fine Dining Restaurants 3,0,0.2
Eating out at Fine Dining Restaurants 4,1,0.16
Food Delivery 1,0,0.88
Food Delivery 2,3,1.68
Food Delivery 3,0,0.8
Food Delivery 4,1,0.64
Home-Cooked Meals 1,10,7.7
Home-Cooked Meals 2,11,14.7
Home-Cooked Meals 3,8,7.0
Home-Cooked Meals 4,6,5.6
