Attributes:,preferred_dining,frequency_takeout_delivery
Degree(s) of freedom:,24
Critical value:,36.415
Statistic:,30.7449

attribute combination, observed, expected
Eating out at Casual Dining Restaurants 1,0,0.48
Eating out at Casual Dining Restaurants 2,1,0.32
Eating out at Casual Dining Restaurants 3,2,1.92
Eating out at Casual Dining Restaurants 4,1,1.6
Eating out at Casual Dining Restaurants 5,3,2.4
Eating out at Casual Dining Restaurants 6,0,0.16
Eating out at Casual Dining Restaurants 7,1,1.12
Eating out at Fast Food Restaurant 1,1,0.12
Eating out at Fast Food Restaurant 2,0,0.08
Eating out at Fast Food Restaurant 3,1,0.48
Eating out at Fast Food Restaurant 4,0,0.4
Eating out at Fast Food Restaurant 5,0,0.6
Eating out at Fast Food Restaurant 6,0,0.04
Eating out at Fast Food Restaurant 7,0,0.28
Eating out at Fine Dining Restaurants 1,0,0.06
Eating out at Fine Dining Restaurants 2,0,0.04
Eating out at Fine Dining Restaurants 3,0,0.24
Eating out at Fine Dining Restaurants 4,0,0.2
Eating out at Fine Dining Restaurants 5,0,0.3
Eating out at Fine Dining Restaurants 6,0,0.02
Eating out at Fine Dining Restaurants 7,1,0.14
Food Delivery 1,1,0.24
Food Delivery 2,1,0.16
Food Delivery 3,2,0.96
Food Delivery 4,0,0.8
Food Delivery 5,0,1.2
Food Delivery 6,0,0.08
Food Delivery 7,0,0.56
Home-Cooked Meals 1,1,2.1
Home-Cooked Meals 2,0,1.4
Home-Cooked Meals 3,7,8.4
Home-Cooked Meals 4,9,7.0
Home-Cooked Meals 5,12,10.5
Home-Cooked Meals 6,1,0.7
Home-Cooked Meals 7,5,4.9
