Attributes:,primary_cook,frequency_cook_home
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,10.88693

attribute combination, observed, expected
I don't cook 1,4,4.8
I don't cook 2,2,3.6
I don't cook 3,1,1.8
I don't cook 4,3,1.5
I don't cook 5,0,0.3
I don't cook 6,2,0.6
I don't cook 7,3,2.4
No, but I can cook 1,9,8.32
No, but I can cook 2,7,6.24
No, but I can cook 3,3,3.12
No, but I can cook 4,2,2.6
No, but I can cook 5,1,0.52
No, but I can cook 6,0,1.04
No, but I can cook 7,4,4.16
Yes 1,3,2.88
Yes 2,3,2.16
Yes 3,2,1.08
Yes 4,0,0.9
Yes 5,0,0.18
Yes 6,0,0.36
Yes 7,1,1.44
