Attributes:,primary_cook,preferred_dining
Degree(s) of freedom:,8
Critical value:,15.507
Statistic:,8.22268

attribute combination, observed, expected
I don't cook Eating out at Casual Dining Restaurants,3,2.4
I don't cook Eating out at Fast Food Restaurant,1,0.6
I don't cook Eating out at Fine Dining Restaurants,0,0.3
I don't cook Food Delivery,1,1.2
I don't cook Home-Cooked Meals,10,10.5
No, but I can cook Eating out at Casual Dining Restaurants,3,4.16
No, but I can cook Eating out at Fast Food Restaurant,0,1.04
No, but I can cook Eating out at Fine Dining Restaurants,1,0.52
No, but I can cook Food Delivery,1,2.08
No, but I can cook Home-Cooked Meals,21,18.2
Yes Eating out at Casual Dining Restaurants,2,1.44
Yes Eating out at Fast Food Restaurant,1,0.36
Yes Eating out at Fine Dining Restaurants,0,0.18
Yes Food Delivery,2,0.72
Yes Home-Cooked Meals,4,6.3
