Attributes:,relationship_status,frequency_cook_home
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,17.95673

attribute combination, observed, expected
Married 1,2,4.16
Married 2,6,3.12
Married 3,3,1.56
Married 4,1,1.3
Married 5,0,0.26
Married 6,0,0.52
Married 7,1,2.08
Married but not living together 1,0,0.32
Married but not living together 2,0,0.24
Married but not living together 3,0,0.12
Married but not living together 4,1,0.1
Married but not living together 5,0,0.02
Married but not living together 6,0,0.04
Married but not living together 7,0,0.16
Single 1,14,11.52
Single 2,6,8.64
Single 3,3,4.32
Single 4,3,3.6
Single 5,1,0.72
Single 6,2,1.44
Single 7,7,5.76
