Attributes:,relationship_status,frequency_takeout_delivery
Degree(s) of freedom:,12
Critical value:,21.026
Statistic:,12.1688

attribute combination, observed, expected
Married 1,0,0.78
Married 2,2,0.52
Married 3,3,3.12
Married 4,1,2.6
Married 5,5,3.9
Married 6,0,0.26
Married 7,2,1.82
Married but not living together 1,0,0.06
Married but not living together 2,0,0.04
Married but not living together 3,1,0.24
Married but not living together 4,0,0.2
Married but not living together 5,0,0.3
Married but not living together 6,0,0.02
Married but not living together 7,0,0.14
Single 1,3,2.16
Single 2,0,1.44
Single 3,8,8.64
Single 4,9,7.2
Single 5,10,10.8
Single 6,1,0.72
Single 7,5,5.04
