Attributes:,relationship_status,pet_ownership
Degree(s) of freedom:,4
Critical value:,9.488
Statistic:,3.94386

attribute combination, observed, expected
Married I don't own a cat/dog,2,3.9
Married I own a cat/dog and bring them when I eat out if I feel like it,1,1.04
Married I own a cat/dog but I DON'T bring them when I eat out,10,8.06
Married but not living together I don't own a cat/dog,1,0.3
Married but not living together I own a cat/dog and bring them when I eat out if I feel like it,0,0.08
Married but not living together I own a cat/dog but I DON'T bring them when I eat out,0,0.62
Single I don't own a cat/dog,12,10.8
Single I own a cat/dog and bring them when I eat out if I feel like it,3,2.88
Single I own a cat/dog but I DON'T bring them when I eat out,21,22.32
